IPO Name,Listing Date,Allotment Price (INR),Listing Return (%),IPO Price,Listing Returns (%),1 Week Returns (%),4 Week Returns (%),6 Week Returns (%),IPO Price (INR),IPO Company
HMA Agro,7/4/2023,585,0.12,,,,,,,
IKIO Lighting,6/16/2023,285,41.70,,,,,,,
Mankind Pharma,5/9/2023,"1,080",31.69,,,,,,,
Avalon Technologies,4/18/2023,436,(8.72),,,,,,,
Udayshivakumar Infra,4/3/2023,35,(10.00),,,,,,,
Global Surfaces,3/23/2023,140,22.18,,,,,,,
Divgi TorqTransfer,3/14/2023,590,2.58,,,,,,,
Sah Polymers,1/12/2023,65,37.31,,,,,,,
Radiant Cash Management,1/4/2023,99,5.96,,,,,,,
AGS Transact,1/31/2022,,,175,-8.0,-9.7,-42.9,-39.7,,
Adani Wilmar,2/8/2022,,,230,16.6,66.9,49.0,70.9,,
Vedant Fashions,2/16/2022,,,866,7.8,-1.3,0.2,10.9,,
Uma Exports,4/7/2022,,,68,17.4,11.0,-24.0,-16.4,,
Ruchi Soya,4/8/2022,,,650,42.1,47.5,68.4,87.3,,
Veranda Learning,4/11/2022,,,137,-4.2,10.8,75.6,34.2,,
HariOm Pipe Industries,4/13/2022,,,153,51.0,43.1,27.3,30.9,,
Campus Activewear,5/9/2022,,,292,29.8,11.8,14.7,9.1,,
Rainbow Hospitals,5/10/2022,,,542,-16.9,-22.4,-13.0,-20.6,,
LIC*,5/17/2022,,,904,-3.2,-8.9,-25.4,-26.6,,
Prudent Corporate Advisory,5/20/2022,,,630,-10.8,-18.7,-20.7,-22.5,,
Venus Pipes & Tubes,5/24/2022,,,326,8.7,1.2,0.3,4.3,,
Delhivery,5/24/2022,,,487,10.1,8.9,5.5,4.2,,
Paradeep Phosphates,5/27/2022,,,42,4.5,5.1,-10.4,-2.3,,
Ethos,5/30/2022,,,878,-8.5,-12.3,-7.8,-3.7,,
eMudhra,6/1/2022,,,256,0.7,-0.3,-1.0,-1.9,,
Aether Industries,6/3/2022,,,642,20.6,22.4,20.6,33.0,,
Syrma SGS,8/26/2022,,,220,41.1,40.3,31.2,37.0,,
DreamFolks Services,9/6/2022,,,326,41.8,30.3,12.1,23.3,,
Tamilnad Mercantile Bank,9/15/2022,,,510,-0.1,-3.2,-8.7,0.9,,
Harsha Engineers,9/26/2022,,,330,47.4,32.0,31.9,24.0,,
Electronics Mart,10/17/2022,,,59,43.2,50.3,47.4,45.8,,
Tracxn Technologies,10/20/2022,,,80,16.6,1.2,-10.3,-10.9,,
DCX Systems,11/11/2022,,,207,49.0,29.1,17.0,-3.2,,
Fusion Microfinance,11/15/2022,,,368,-11.7,-7.1,6.3,-2.4,,
Bikaji Foods,11/16/2022,,,300,5.8,14.9,30.1,35.1,,
Global Health,11/16/2022,,,336,23.6,34.2,34.1,36.8,,
Five Star Business Finance,11/21/2022,,,474,3.4,5.4,25.5,27.7,,
Archean Chemical Industries,11/21/2022,,,407,12.6,32.6,25.4,29.1,,
Kaynes Technology,11/22/2022,,,587,17.5,25.0,19.4,25.8,,
Inox Green Energy,11/23/2022,,,65,-9.1,-6.5,-26.5,-29.0,,
Keystone Realtors,11/24/2022,,,541,2.9,0.0,-8.5,-3.3,,
Dharmaj Crop Guard,12/8/2022,,,237,12.4,-1.5,-15.2,#N/A,,
Uniparts,12/12/2022,,,577,-6.5,1.4,-4.3,#N/A,,
Sula Vineyards,12/22/2022,,,357,-7.2,-9.5,#N/A,#N/A,,
Abans Holdings,12/23/2022,,,270,-19.1,-29.6,#N/A,#N/A,,
Landmark Cars,12/23/2022,,,506,-9.4,-8.3,#N/A,#N/A,,
KFin Technologies,12/29/2022,,,366,-0.6,-5.1,#N/A,#N/A,,
Elin Electronics,12/30/2022,,,247,-7.8,-10.1,#N/A,#N/A,,
Antony Waste Handling Cell,1/1/2021,,,,29.3,19.0,-10.3,0.2,315,
IRFC,1/29/2021,,,,-4.6,-1.2,-5.2,-4.4,26,
Indigo Paints,2/2/2021,,,,109.2,81.5,77.2,64.0,"1,490",
Home First Finance,2/3/2021,,,,1.8,6.8,4.0,-7.6,518,
Stove Kraft,2/5/2021,,,,15.8,31.6,30.7,14.4,385,
Brookfield India REIT,2/16/2021,,,,-2.2,-9.9,-14.8,-18.1,275,
Nureca,2/25/2021,,,,61.4,64.7,49.3,76.8,400,
RailTel,2/26/2021,,,,29.1,69.1,35.6,30.0,94,
