ipo_name,listing_date,issue_price,listing_gain_pct,return_1w,return_4w,return_6w,listing_year,listing_month,listing_quarter,gain_category
Yatra Online,2023-09-28,142,,,,,2023,9,3,loss
Signature Global,2023-09-27,385,19.1,,,,2023,9,3,moderate
Sai Silks,2023-09-27,222,10.32,,,,2023,9,3,moderate
Zaggle Prepaid,2023-09-22,164,,,,,2023,9,3,loss
Samhi Hotels,2023-09-22,126,13.81,,,,2023,9,3,moderate
EMS Limited,2023-09-21,211,32.65,,,,2023,9,3,strong
RR Kabel,2023-09-20,1035,15.75,,,,2023,9,3,moderate
Jupiter Life Line Hospitals,2023-09-18,735,46.36,,,,2023,9,3,strong
Ratnaveer Precision Engineering,2023-09-11,98,31.99,,,,2023,9,3,strong
Rishabh Instruments,2023-09-11,441,0.49,,,,2023,9,3,weak
Vishnu Prakash Punglia,2023-09-05,99,47.17,,,,2023,9,3,strong
Aeroflex Industries,2023-08-31,108,51.16,,,,2023,8,3,strong
Pyramid Technoplast,2023-08-29,166,7.02,,,,2023,8,3,moderate
TVS Supply Chain,2023-08-23,197,2.03,,,,2023,8,3,weak
Concord Biotech,2023-08-18,741,27.23,,,,2023,8,3,strong
SBFC Finance,2023-08-16,57,61.75,,,,2023,8,3,strong
Yatharth Hospital,2023-08-07,300,11.28,,,,2023,8,3,moderate
Netweb Technologies,2023-07-27,500,82.08,,,,2023,7,3,strong
Utkarsh Small Finance Bank,2023-07-21,25,92.0,,,,2023,7,3,strong
Senco Gold,2023-07-14,317,27.85,,,,2023,7,3,strong
Cyient DLM,2023-07-10,265,58.72,,,,2023,7,3,strong
IdeaForge,2023-07-07,672,92.7,,,,2023,7,3,strong
HMA Agro,2023-07-04,585,0.12,,,,2023,7,3,weak
IKIO Lighting,2023-06-16,285,41.7,,,,2023,6,2,strong
Mankind Pharma,2023-05-09,1080,31.69,,,,2023,5,2,strong
Avalon Technologies,2023-04-18,436,,,,,2023,4,2,loss
Udayshivakumar Infra,2023-04-03,35,,,,,2023,4,2,loss
Global Surfaces,2023-03-23,140,22.18,,,,2023,3,1,strong
Divgi TorqTransfer,2023-03-14,590,2.58,,,,2023,3,1,weak
Sah Polymers,2023-01-12,65,37.31,,,,2023,1,1,strong
Radiant Cash Management,2023-01-04,99,5.96,,,,2023,1,1,moderate
AGS Transact,2022-01-31,175,-8.0,-9.7,-42.9,-39.7,2022,1,1,loss
Adani Wilmar,2022-02-08,230,16.6,66.9,49.0,70.9,2022,2,1,moderate
Vedant Fashions,2022-02-16,866,7.8,-1.3,0.2,10.9,2022,2,1,moderate
Uma Exports,2022-04-07,68,17.4,11.0,-24.0,-16.4,2022,4,2,moderate
Ruchi Soya,2022-04-08,650,42.1,47.5,68.4,87.3,2022,4,2,strong
Veranda Learning,2022-04-11,137,-4.2,10.8,75.6,34.2,2022,4,2,loss
HariOm Pipe Industries,2022-04-13,153,51.0,43.1,27.3,30.9,2022,4,2,strong
Campus Activewear,2022-05-09,292,29.8,11.8,14.7,9.1,2022,5,2,strong
Rainbow Hospitals,2022-05-10,542,-16.9,-22.4,-13.0,-20.6,2022,5,2,loss
LIC*,2022-05-17,904,-3.2,-8.9,-25.4,-26.6,2022,5,2,loss
Prudent Corporate Advisory,2022-05-20,630,-10.8,-18.7,-20.7,-22.5,2022,5,2,loss
Venus Pipes & Tubes,2022-05-24,326,8.7,1.2,0.3,4.3,2022,5,2,moderate
Delhivery,2022-05-24,487,10.1,8.9,5.5,4.2,2022,5,2,moderate
Paradeep Phosphates,2022-05-27,42,4.5,5.1,-10.4,-2.3,2022,5,2,weak
Ethos,2022-05-30,878,-8.5,-12.3,-7.8,-3.7,2022,5,2,loss
eMudhra,2022-06-01,256,0.7,-0.3,-1.0,-1.9,2022,6,2,weak
Aether Industries,2022-06-03,642,20.6,22.4,20.6,33.0,2022,6,2,strong
Syrma SGS,2022-08-26,220,41.1,40.3,31.2,37.0,2022,8,3,strong
DreamFolks Services,2022-09-06,326,41.8,30.3,12.1,23.3,2022,9,3,strong
Tamilnad Mercantile Bank,2022-09-15,510,-0.1,-3.2,-8.7,0.9,2022,9,3,loss
Harsha Engineers,2022-09-26,330,47.4,32.0,31.9,24.0,2022,9,3,strong
Electronics Mart,2022-10-17,59,43.2,50.3,47.4,45.8,2022,10,4,strong
Tracxn Technologies,2022-10-20,80,16.6,1.2,-10.3,-10.9,2022,10,4,moderate
DCX Systems,2022-11-11,207,49.0,29.1,17.0,-3.2,2022,11,4,strong
Fusion Microfinance,2022-11-15,368,-11.7,-7.1,6.3,-2.4,2022,11,4,loss
Bikaji Foods,2022-11-16,300,5.8,14.9,30.1,35.1,2022,11,4,moderate
Global Health,2022-11-16,336,23.6,34.2,34.1,36.8,2022,11,4,strong
Five Star Business Finance,2022-11-21,474,3.4,5.4,25.5,27.7,2022,11,4,weak
Archean Chemical Industries,2022-11-21,407,12.6,32.6,25.4,29.1,2022,11,4,moderate
Kaynes Technology,2022-11-22,587,17.5,25.0,19.4,25.8,2022,11,4,moderate
Inox Green Energy,2022-11-23,65,-9.1,-6.5,-26.5,-29.0,2022,11,4,loss
Keystone Realtors,2022-11-24,541,2.9,0.0,-8.5,-3.3,2022,11,4,weak
Dharmaj Crop Guard,2022-12-08,237,12.4,-1.5,-15.2,,2022,12,4,moderate
Uniparts,2022-12-12,577,-6.5,1.4,-4.3,,2022,12,4,loss
Sula Vineyards,2022-12-22,357,-7.2,-9.5,,,2022,12,4,loss
Abans Holdings,2022-12-23,270,-19.1,-29.6,,,2022,12,4,loss
Landmark Cars,2022-12-23,506,-9.4,-8.3,,,2022,12,4,loss
KFin Technologies,2022-12-29,366,-0.6,-5.1,,,2022,12,4,loss
Elin Electronics,2022-12-30,247,-7.8,-10.1,,,2022,12,4,loss
Garden Reach Shipbuilders,2018-10-10,118,,,,,2018,10,4,loss
Aavas Financiers,2018-10-08,821,,,,,2018,10,4,loss
IRCON International,2018-09-28,475,,,,,2018,9,3,loss
Creditaccess Grameen,2018-08-23,422,0.01,,,,2018,8,3,weak
HDFC AMC,2018-08-06,1100,65.09,,,,2018,8,3,strong
TCNS Clothing,2018-07-30,716,,,,,2018,7,3,loss
Varroc Engineering,2018-07-06,967,7.28,,,,2018,7,3,moderate
Fine Organics,2018-07-02,783,5.08,,,,2018,7,3,moderate
RITES Limited,2018-07-02,185,,,,,2018,7,3,loss
Indostar Capital Finance,2018-05-21,572,2.47,,,,2018,5,2,weak
Lemon Tree Hotels,2018-04-09,56,27.95,,,,2018,4,2,strong
